operation, n, work
__str__, 312522, 312523
__str__, 170529, 170530
__str__, 775514, 775515
__str__, 838236, 838237
__str__, 255452, 255453
__str__, 163177, 163178
__str__, 604032, 604033
__str__, 683235, 683236
__str__, 535985, 535986
__str__, 685472, 685473
__str__, 973955, 973956
__str__, 275961, 275962
__str__, 294823, 294824
__str__, 873506, 873507
__str__, 722501, 722502
__str__, 702459, 702460
__str__, 668937, 668938
__str__, 572420, 572421
__str__, 159108, 159109
__str__, 848188, 848189
