operation, n, work
remove, 312511, 312534
remove, 170517, 170542
remove, 775505, 775524
remove, 838230, 838243
remove, 255442, 255463
remove, 163166, 163189
remove, 604017, 604048
remove, 683233, 683238
remove, 535973, 535998
remove, 685464, 685481
remove, 973941, 973970
remove, 275947, 275976
remove, 294818, 294829
remove, 873497, 873516
remove, 722485, 722518
remove, 702448, 702471
remove, 668928, 668947
remove, 572407, 572434
remove, 159099, 159118
remove, 848180, 848197
